Metric,Value
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,11
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,11
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,11
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,11
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.19984
design_powergrid__drop__average__net:VPWR__corner:nom_typ_1p20V_25C,1.19996
design_powergrid__drop__worst__net:VPWR__corner:nom_typ_1p20V_25C,0.000158209
design_powergrid__voltage__worst__net:VGND__corner:nom_typ_1p20V_25C,0.000181466
design_powergrid__drop__average__net:VGND__corner:nom_typ_1p20V_25C,0.0000406279
design_powergrid__drop__worst__net:VGND__corner:nom_typ_1p20V_25C,0.000181466
design_powergrid__voltage__worst,0.000181466
design_powergrid__voltage__worst__net:VPWR,1.19984
design_powergrid__drop__worst,0.000181466
design_powergrid__drop__worst__net:VPWR,0.000158209
design_powergrid__voltage__worst__net:VGND,0.000181466
design_powergrid__drop__worst__net:VGND,0.000181466
ir__voltage__worst,1.1999999999999999555910790149937383830547332763671875
ir__drop__avg,0.000040800000000000002388887698767661049714661203324794769287109375
ir__drop__worst,0.0001579999999999999915796522476085783637245185673236846923828125
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
